ensembl_gene_id	external_gene_id	refseq_mrna
ENSG00000163374	YY1AP1	NM_139118
ENSG00000163374	YY1AP1	NM_001198901
ENSG00000163374	YY1AP1	NM_139121
ENSG00000163374	YY1AP1	NM_001198903
ENSG00000230797	YY2	NM_206923
ENSG00000186919	ZACN	NM_180990
ENSG00000180011	ZADH2	NM_175907
ENSG00000146839	ZAN	NM_173059
ENSG00000146839	ZAN	NM_003386
ENSG00000115085	ZAP70	NM_001079
ENSG00000115085	ZAP70	NM_207519
ENSG00000182223	ZAR1	NM_175619
ENSG00000189167	ZAR1L	NM_001136571
ENSG00000169064	ZBBX	NM_024687
ENSG00000169064	ZBBX	NM_001199201
ENSG00000169064	ZBBX	NM_001199202
ENSG00000214717	ZBED1	NM_001171135
ENSG00000214717	ZBED1	NM_001171136
ENSG00000214717	ZBED1	NM_004729
ENSG00000177494	ZBED2	NM_024508
ENSG00000132846	ZBED3	NM_032367
ENSG00000100426	ZBED4	NM_014838
ENSG00000236287	ZBED5	NM_001143667
ENSG00000236287	ZBED5	NM_021211
ENSG00000257315	ZBED6	NM_001174108
ENSG00000188707	ZBED6CL	NM_138434
ENSG00000124256	ZBP1	NM_030776
ENSG00000124256	ZBP1	NM_001160417
ENSG00000124256	ZBP1	NM_001160418
ENSG00000124256	ZBP1	NM_001160419
ENSG00000126804	ZBTB1	NM_014950
ENSG00000126804	ZBTB1	NM_001123329
ENSG00000205189	ZBTB10	NM_001277145
ENSG00000205189	ZBTB10	NM_001105539
ENSG00000205189	ZBTB10	NM_023929
ENSG00000066422	ZBTB11	NM_014415
ENSG00000204366	ZBTB12	NM_181842
ENSG00000198081	ZBTB14	NM_001243704
ENSG00000198081	ZBTB14	NM_001143823
ENSG00000198081	ZBTB14	NM_003409
ENSG00000198081	ZBTB14	NM_001243702
ENSG00000109906	ZBTB16	NM_006006
ENSG00000109906	ZBTB16	NM_001018011
ENSG00000116809	ZBTB17	NM_003443
ENSG00000116809	ZBTB17	NM_001242884
ENSG00000179456	ZBTB18	NM_006352
ENSG00000179456	ZBTB18	NM_001278196
ENSG00000179456	ZBTB18	NM_205768
ENSG00000181472	ZBTB2	NM_020861
ENSG00000181722	ZBTB20	NM_001164343
ENSG00000181722	ZBTB20	NM_001164347
ENSG00000181722	ZBTB20	NM_001164345
ENSG00000181722	ZBTB20	NM_001164342
ENSG00000181722	ZBTB20	NM_015642
ENSG00000181722	ZBTB20	NM_001164344
ENSG00000181722	ZBTB20	NM_001164346
ENSG00000173276	ZBTB21	NM_001098403
ENSG00000173276	ZBTB21	NM_001098402
ENSG00000173276	ZBTB21	NM_020727
ENSG00000236104	ZBTB22	NM_005453
ENSG00000236104	ZBTB22	NM_001145338
ENSG00000112365	ZBTB24	NM_001164313
ENSG00000112365	ZBTB24	NM_014797
ENSG00000089775	ZBTB25	NM_006977
ENSG00000171448	ZBTB26	NM_020924
ENSG00000185670	ZBTB3	NM_024784
ENSG00000011590	ZBTB32	NM_014383
ENSG00000177485	ZBTB33	NM_006777
ENSG00000177485	ZBTB33	NM_001184742
ENSG00000177125	ZBTB34	NM_001099270
ENSG00000185278	ZBTB37	NM_001122770
ENSG00000185278	ZBTB37	NM_032522
ENSG00000177311	ZBTB38	NM_001080412
ENSG00000166860	ZBTB39	NM_014830
ENSG00000174282	ZBTB4	NM_001128833
ENSG00000174282	ZBTB4	NM_020899
ENSG00000184677	ZBTB40	NM_014870
ENSG00000184677	ZBTB40	NM_001083621
ENSG00000177888	ZBTB41	NM_194314
ENSG00000179627	ZBTB42	NM_001137601
ENSG00000169155	ZBTB43	NM_014007
ENSG00000169155	ZBTB43	NM_001135776
ENSG00000196323	ZBTB44	NM_014155
ENSG00000119574	ZBTB45	NM_032792
ENSG00000130584	ZBTB46	NM_025224
ENSG00000114853	ZBTB47	NM_145166
ENSG00000204859	ZBTB48	NM_001278647
ENSG00000204859	ZBTB48	NM_001278648
ENSG00000204859	ZBTB48	NM_005341
ENSG00000168826	ZBTB49	NM_145291
ENSG00000168795	ZBTB5	NM_014872
ENSG00000186130	ZBTB6	NM_006626
ENSG00000178951	ZBTB7A	NM_015898
ENSG00000160685	ZBTB7B	NM_001256455
ENSG00000160685	ZBTB7B	NM_001252406
ENSG00000184828	ZBTB7C	NM_001039360
ENSG00000160062	ZBTB8A	NM_001040441
ENSG00000215897	ZBTB8B	NM_001145720
ENSG00000176261	ZBTB8OS	NM_178547
ENSG00000213588	ZBTB9	NM_152735
ENSG00000104427	ZC2HC1A	NM_016010
ENSG00000118491	ZC2HC1B	NM_001013623
ENSG00000119703	ZC2HC1C	NM_024643
ENSG00000119703	ZC2HC1C	NM_001042430
ENSG00000135482	ZC3H10	NM_032786
ENSG00000058673	ZC3H11A	NM_014827
ENSG00000058673	ZC3H11A	NM_001271675
ENSG00000163874	ZC3H12A	NM_025079
ENSG00000102053	ZC3H12B	NM_001010888
ENSG00000149289	ZC3H12C	NM_033390
ENSG00000178199	ZC3H12D	NM_207360
ENSG00000123200	ZC3H13	NM_015070
ENSG00000100722	ZC3H14	NM_001160104
ENSG00000100722	ZC3H14	NM_001160103
ENSG00000100722	ZC3H14	NM_024824
ENSG00000100722	ZC3H14	NM_207660
ENSG00000100722	ZC3H14	NM_207661
ENSG00000100722	ZC3H14	NM_207662
ENSG00000065548	ZC3H15	NM_018471
ENSG00000158545	ZC3H18	NM_144604
ENSG00000014164	ZC3H3	NM_015117
ENSG00000130749	ZC3H4	NM_015168
ENSG00000188177	ZC3H6	NM_198581
ENSG00000122299	ZC3H7A	NM_014153
ENSG00000100403	ZC3H7B	NM_017590
ENSG00000144161	ZC3H8	NM_032494
ENSG00000105939	ZC3HAV1	NM_020119
ENSG00000105939	ZC3HAV1	NM_024625
ENSG00000146858	ZC3HAV1L	NM_080660
ENSG00000091732	ZC3HC1	NM_016478
ENSG00000126970	ZC4H2	NM_018684
ENSG00000126970	ZC4H2	NM_001243804
ENSG00000126970	ZC4H2	NM_001178032
ENSG00000126970	ZC4H2	NM_001178033
ENSG00000155329	ZCCHC10	NM_017665
ENSG00000134744	ZCCHC11	NM_001009881
ENSG00000134744	ZCCHC11	NM_015269
ENSG00000174460	ZCCHC12	NM_173798
ENSG00000187969	ZCCHC13	NM_203303
ENSG00000140948	ZCCHC14	NM_015144
ENSG00000187823	ZCCHC16	NM_001004308
ENSG00000121766	ZCCHC17	NM_016505
ENSG00000166707	ZCCHC18	NM_001143978
ENSG00000141664	ZCCHC2	NM_017742
ENSG00000165424	ZCCHC24	NM_153367
ENSG00000177764	ZCCHC3	NM_033089
ENSG00000168228	ZCCHC4	NM_024936
ENSG00000179300	ZCCHC5	NM_152694
ENSG00000083223	ZCCHC6	NM_001185074
ENSG00000083223	ZCCHC6	NM_024617
ENSG00000083223	ZCCHC6	NM_001185059
ENSG00000147905	ZCCHC7	NM_032226
ENSG00000033030	ZCCHC8	NM_017612
ENSG00000131732	ZCCHC9	NM_001131035
ENSG00000131732	ZCCHC9	NM_032280
ENSG00000131732	ZCCHC9	NM_001131036
ENSG00000139168	ZCRB1	NM_033114
ENSG00000078487	ZCWPW1	NM_017984
ENSG00000078487	ZCWPW1	NM_001258008
ENSG00000206559	ZCWPW2	NM_001040432
ENSG00000204186	ZDBF2	NM_020923
ENSG00000159714	ZDHHC1	NM_013304
ENSG00000188818	ZDHHC11	NM_024786
ENSG00000160446	ZDHHC12	NM_032799
ENSG00000177054	ZDHHC13	NM_019028
ENSG00000177054	ZDHHC13	NM_001001483
ENSG00000175048	ZDHHC14	NM_024630
ENSG00000175048	ZDHHC14	NM_153746
ENSG00000102383	ZDHHC15	NM_144969
ENSG00000102383	ZDHHC15	NM_001146256
ENSG00000171307	ZDHHC16	NM_032327
ENSG00000171307	ZDHHC16	NM_198043
ENSG00000171307	ZDHHC16	NM_198044
ENSG00000171307	ZDHHC16	NM_198045
ENSG00000171307	ZDHHC16	NM_198046
ENSG00000186908	ZDHHC17	NM_015336
ENSG00000204160	ZDHHC18	NM_032283
ENSG00000163958	ZDHHC19	NM_001039617
ENSG00000104219	ZDHHC2	NM_016353
ENSG00000180776	ZDHHC20	NM_153251
ENSG00000175893	ZDHHC21	NM_178566
ENSG00000177108	ZDHHC22	NM_174976
ENSG00000184307	ZDHHC23	NM_173570
ENSG00000174165	ZDHHC24	NM_207340
ENSG00000163812	ZDHHC3	NM_016598
ENSG00000163812	ZDHHC3	NM_001135179
ENSG00000136247	ZDHHC4	NM_018106
ENSG00000136247	ZDHHC4	NM_001134389
ENSG00000136247	ZDHHC4	NM_001134387
ENSG00000136247	ZDHHC4	NM_001134388
ENSG00000156599	ZDHHC5	NM_015457
ENSG00000023041	ZDHHC6	NM_022494
ENSG00000153786	ZDHHC7	NM_017740
ENSG00000153786	ZDHHC7	NM_001145548
ENSG00000099904	ZDHHC8	NM_013373
ENSG00000099904	ZDHHC8	NM_001185024
ENSG00000188706	ZDHHC9	NM_016032
ENSG00000188706	ZDHHC9	NM_001008222
ENSG00000148516	ZEB1	NM_001174095
ENSG00000148516	ZEB1	NM_030751
ENSG00000148516	ZEB1	NM_001174096
ENSG00000148516	ZEB1	NM_001174093
ENSG00000148516	ZEB1	NM_001128128
ENSG00000148516	ZEB1	NM_001174094
ENSG00000169554	ZEB2	NM_014795
ENSG00000169554	ZEB2	NM_001171653
ENSG00000160445	ZER1	NM_006336
ENSG00000104231	ZFAND1	NM_001170796
ENSG00000104231	ZFAND1	NM_024699
ENSG00000104231	ZFAND1	NM_001170797
ENSG00000178381	ZFAND2A	NM_182491
ENSG00000158552	ZFAND2B	NM_001270998
ENSG00000158552	ZFAND2B	NM_138802
ENSG00000156639	ZFAND3	NM_021943
ENSG00000172671	ZFAND4	NM_001128324
ENSG00000172671	ZFAND4	NM_174890
ENSG00000107372	ZFAND5	NM_001102420
ENSG00000107372	ZFAND5	NM_001278243
ENSG00000107372	ZFAND5	NM_001278244
ENSG00000107372	ZFAND5	NM_001278245
